attacker,defender,overtake,year,race_name,round_number,event_date,lap_number,total_laps,race_progress,attacker_position,defender_position,attacker_lap_time,defender_lap_time,gap_ahead,pace_delta,attacker_speed_i1,defender_speed_i1,attacker_speed_i2,defender_speed_i2,attacker_finish_line_speed,defender_finish_line_speed,attacker_straight_speed,defender_straight_speed,speed_i1_delta,speed_i2_delta,speed_fl_delta,speed_st_delta,safety_car,yellow_flag,attacker_tyre_compound,defender_tyre_compound,attacker_tyre_age,defender_tyre_age,tyre_age_difference,attacker_stint,defender_stint,attacker_fresh_tyre,defender_fresh_tyre,pit_stop_involved,track,sector,sector_type,is_in_drs_zone,drs_zone_length,track_type,attacker_qualification_rank,defender_qualification_rank,air_temp,track_temp,humidity,rainfall,wind_speed,overtake_within_2,overtake_within_3,sector1_delta,sector2_delta,sector3_delta,strongest_sector,compound_mismatch,attacker_team,defender_team,same_team,gap_to_car_ahead,gap_to_car_behind,drs_train_size,race_phase,stint_phase,attacker_overtake_rate_last5,defender_defend_rate_last5,attacker_team_pace_rank,defender_team_pace_rank,team_delta,attacker_positions_gained_avg,defender_positions_gained_avg,attacker_quali_vs_teammate,defender_quali_vs_teammate,attacker_race_pace_vs_teammate,defender_race_pace_vs_teammate
LEC,VER,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,2,1,98.271,97.284,0.0,-0.9869999999999948,232.0,234.0,252.0,250.0,278.0,276.0,255.0,251.0,-2.0,2.0,2.0,4.0,False,False,SOFT,SOFT,4,4,0,1,1,False,False,False,SAKHIR,1,mixed,False,0,medium-speed,2,1,18.2,23.8,49.0,False,1.5,False,False,0.0,-0.28300000000000125,-0.019000000000001904,-1,False,Ferrari,Red Bull Racing,False,99.0,0.0,20,opening,fresh,0.045454545454545456,1.0,10.0,10.0,0.0,0.0,0.2,5.0,7.2,0.8546330275802688,-1.300101151854679
RUS,LEC,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,3,2,99.228,98.271,0.0,-0.9569999999999936,225.0,232.0,252.0,252.0,279.0,278.0,256.0,255.0,-7.0,0.0,1.0,1.0,False,False,SOFT,SOFT,4,4,0,1,1,False,False,False,SAKHIR,1,mixed,False,0,medium-speed,3,2,18.2,23.8,49.0,False,1.5,True,True,0.0,-0.5499999999999972,-0.0589999999999975,-1,False,Mercedes,Ferrari,False,0.0,0.0,20,opening,fresh,0.09433962264150944,0.9344262295081968,10.0,10.0,0.0,0.0,0.0,-2.4,5.0,-0.2615437068607321,0.8546330275802688
PER,RUS,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,4,3,100.053,99.228,0.0,-0.8250000000000028,229.0,225.0,256.0,252.0,278.0,279.0,259.0,256.0,4.0,4.0,-1.0,3.0,False,False,SOFT,SOFT,4,4,0,1,1,False,False,False,SAKHIR,1,mixed,False,0,medium-speed,5,3,18.2,23.8,49.0,False,1.5,False,False,0.0,-0.5110000000000028,-0.1620000000000026,-1,False,Red Bull Racing,Mercedes,False,0.0,0.0,20,opening,fresh,0.3076923076923077,0.8888888888888888,10.0,10.0,0.0,-0.6,0.0,-7.2,-2.4,1.300101151854679,-0.2615437068607321
SAI,PER,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,5,4,100.62,100.053,0.0,-0.5670000000000073,233.0,229.0,249.0,256.0,280.0,278.0,256.0,259.0,4.0,-7.0,2.0,-3.0,False,False,SOFT,SOFT,4,4,0,1,1,False,False,False,SAKHIR,1,mixed,False,0,medium-speed,4,5,18.2,23.8,49.0,False,1.5,False,False,0.0,-0.25099999999999767,0.09100000000000108,2,False,Ferrari,Red Bull Racing,False,0.0,0.0,20,opening,fresh,0.016129032258064516,1.0,10.0,10.0,0.0,1.6,-0.6,-5.0,-7.2,-0.8546330275802688,1.300101151854679
ALO,SAI,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,6,5,101.679,100.62,0.0,-1.0589999999999975,232.0,233.0,237.0,249.0,275.0,280.0,258.0,256.0,-1.0,-12.0,-5.0,2.0,False,False,SOFT,SOFT,4,4,0,1,1,False,False,False,SAKHIR,1,mixed,False,0,medium-speed,6,4,18.2,23.8,49.0,False,1.5,False,False,0.0,-0.4070000000000036,-0.39699999999999847,-1,False,Aston Martin,Ferrari,False,0.0,0.0,20,opening,fresh,0.05357142857142857,0.8723404255319149,10.0,10.0,0.0,1.6,1.6,4.6,-5.0,0.3207589202581289,-0.8546330275802688
NOR,ALO,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,7,6,102.168,101.679,0.0,-0.4890000000000043,233.0,232.0,247.0,237.0,278.0,275.0,237.0,258.0,1.0,10.0,3.0,-21.0,False,False,SOFT,SOFT,4,4,0,1,1,False,False,False,SAKHIR,1,mixed,False,0,medium-speed,7,6,18.2,23.8,49.0,False,1.5,True,True,0.0,-0.04099999999999682,-0.08200000000000074,-1,False,McLaren,Aston Martin,False,0.0,0.0,20,opening,fresh,0.07692307692307693,0.9397590361445783,10.0,10.0,0.0,0.8,1.6,1.4,4.6,-1.2630083635265692,0.3207589202581289
PIA,NOR,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,8,7,102.523,102.168,0.0,-0.35499999999998977,232.0,233.0,252.0,247.0,281.0,278.0,259.0,237.0,-1.0,5.0,3.0,22.0,False,False,SOFT,SOFT,4,4,0,1,1,False,False,False,SAKHIR,1,mixed,False,0,medium-speed,8,7,18.2,23.8,49.0,False,1.5,False,False,0.0,-0.2640000000000029,0.1039999999999992,2,False,McLaren,McLaren,True,0.0,0.0,20,opening,fresh,0.03333333333333333,0.9,10.0,10.0,0.0,1.0,0.8,-1.4,1.4,1.2630083635265692,-1.2630083635265692
HAM,PIA,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,9,8,103.122,102.523,0.0,-0.5990000000000038,229.0,232.0,246.0,252.0,278.0,281.0,249.0,259.0,-3.0,-6.0,-3.0,-10.0,False,False,SOFT,SOFT,4,4,0,1,1,False,False,False,SAKHIR,1,mixed,False,0,medium-speed,9,8,18.2,23.8,49.0,False,1.5,False,False,0.0,-0.036000000000001364,-0.2530000000000001,-1,False,Mercedes,McLaren,False,0.0,0.0,20,opening,fresh,0.12244897959183673,0.8571428571428571,10.0,10.0,0.0,-0.8,1.0,2.4,-1.4,0.2615437068607321,1.2630083635265692
TSU,HAM,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,10,9,103.485,103.122,0.0,-0.36299999999999955,220.0,229.0,246.0,246.0,281.0,278.0,274.0,249.0,-9.0,0.0,3.0,25.0,False,False,SOFT,SOFT,1,4,-3,1,1,True,False,False,SAKHIR,1,mixed,False,0,medium-speed,11,9,18.2,23.8,49.0,False,1.5,False,False,0.0,-0.232999999999997,0.04800000000000182,2,False,RB,Mercedes,False,0.0,0.0,20,opening,fresh,0.057971014492753624,0.9827586206896551,10.0,10.0,0.0,1.2,-0.8,2.4,2.4,0.6192647318993949,0.2615437068607321
ALB,TSU,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,11,10,103.888,103.485,0.0,-0.4030000000000058,215.0,220.0,245.0,246.0,280.0,281.0,260.0,274.0,-5.0,-1.0,-1.0,-14.0,False,False,SOFT,SOFT,1,1,0,1,1,True,True,False,SAKHIR,1,mixed,False,0,medium-speed,13,11,18.2,23.8,49.0,False,1.5,False,False,0.0,-0.16499999999999915,-0.03300000000000125,-1,False,Williams,RB,False,0.0,0.0,20,opening,fresh,0.04,0.9245283018867925,10.0,10.0,0.0,-1.6,1.2,4.25,2.4,-0.35788399130161963,0.6192647318993949
MAG,ALB,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,12,11,104.349,103.888,0.0,-0.4609999999999985,227.0,215.0,242.0,245.0,282.0,280.0,254.0,260.0,12.0,-3.0,2.0,-6.0,False,False,SOFT,SOFT,1,1,0,1,1,True,True,False,SAKHIR,1,mixed,False,0,medium-speed,15,13,18.2,23.8,49.0,False,1.5,False,False,0.0,-0.3680000000000021,0.16600000000000037,2,False,Haas F1 Team,Williams,False,0.0,0.0,20,opening,fresh,0.0,0.9666666666666667,10.0,10.0,0.0,1.0,-1.6,-4.4,4.25,-0.446581220947661,-0.35788399130161963
ZHO,MAG,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,13,12,104.801,104.349,0.0,-0.4519999999999982,220.0,227.0,243.0,242.0,281.0,282.0,269.0,254.0,-7.0,1.0,-1.0,15.0,False,False,SOFT,SOFT,1,1,0,1,1,True,True,False,SAKHIR,1,mixed,False,0,medium-speed,17,15,18.2,23.8,49.0,False,1.5,False,False,0.0,0.7989999999999995,-0.08200000000000074,1,False,Kick Sauber,Haas F1 Team,False,0.0,0.0,20,opening,fresh,0.08333333333333333,0.8918918918918919,10.0,10.0,0.0,-1.6,1.0,1.25,-4.4,-0.4981180198434991,-0.446581220947661
RIC,ZHO,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,14,13,105.668,104.801,0.0,-0.8670000000000044,233.0,220.0,241.0,243.0,279.0,281.0,257.0,269.0,13.0,-2.0,-2.0,-12.0,False,False,SOFT,SOFT,4,1,3,1,1,False,True,False,SAKHIR,1,mixed,False,0,medium-speed,14,17,18.2,23.8,49.0,False,1.5,False,False,0.0,0.4170000000000016,-0.15700000000000003,1,False,RB,Kick Sauber,False,0.0,0.0,20,opening,fresh,0.02040816326530612,0.84,10.0,10.0,0.0,-1.3333333333333333,-1.6,-2.6666666666666665,1.25,-0.728782714361652,-0.4981180198434991
SAR,RIC,True,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,15,14,105.921,105.668,0.0,-0.2530000000000001,230.0,233.0,249.0,241.0,285.0,279.0,231.0,257.0,-3.0,8.0,6.0,-26.0,False,False,SOFT,SOFT,1,4,-3,1,1,True,False,False,SAKHIR,1,mixed,False,0,medium-speed,18,14,18.2,23.8,49.0,False,1.5,True,True,0.0,-0.0030000000000001137,0.2729999999999997,2,False,Williams,RB,False,0.0,0.0,20,opening,fresh,0.045454545454545456,0.88,10.0,10.0,0.0,1.5,-1.3333333333333333,-4.25,-2.6666666666666665,0.35788399130161963,-0.728782714361652
OCO,SAR,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,16,15,106.657,105.921,0.0,-0.73599999999999,230.0,230.0,252.0,249.0,276.0,285.0,255.0,231.0,0.0,3.0,-9.0,24.0,False,False,SOFT,SOFT,1,1,0,1,1,True,True,False,SAKHIR,1,mixed,False,0,medium-speed,19,18,18.2,23.8,49.0,False,1.5,False,False,0.0,-0.25800000000000267,-0.20700000000000074,-1,False,Alpine,Williams,False,0.0,0.0,20,opening,fresh,0.023809523809523808,0.9038461538461539,10.0,10.0,0.0,-1.0,1.5,-2.0,-4.25,0.20410393382352865,0.35788399130161963
GAS,OCO,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,17,16,107.24,106.657,0.0,-0.5829999999999984,231.0,230.0,246.0,252.0,276.0,276.0,272.0,255.0,1.0,-6.0,0.0,17.0,False,False,SOFT,SOFT,1,1,0,1,1,True,True,False,SAKHIR,1,mixed,False,0,medium-speed,20,19,18.2,23.8,49.0,False,1.5,False,False,0.0,-0.2839999999999989,-0.007999999999999119,-1,False,Alpine,Alpine,True,0.0,0.0,20,opening,fresh,0.037037037037037035,0.896551724137931,10.0,10.0,0.0,-0.5,-1.0,2.0,-2.0,-0.20410393382352865,0.20410393382352865
BOT,GAS,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,18,17,108.536,107.24,0.0,-1.2960000000000065,231.0,231.0,252.0,246.0,278.0,276.0,256.0,272.0,0.0,6.0,2.0,-16.0,False,False,SOFT,SOFT,1,1,0,1,1,True,True,False,SAKHIR,1,mixed,False,0,medium-speed,16,20,18.2,23.8,49.0,False,1.5,False,False,0.0,-0.03300000000000125,0.2710000000000008,2,False,Kick Sauber,Alpine,False,0.0,0.0,20,opening,fresh,0.047619047619047616,0.9512195121951219,10.0,10.0,0.0,-0.75,-0.5,-1.25,2.0,0.4981180198434991,-0.20410393382352865
STR,BOT,False,2024,Bahrain Grand Prix,1,2024-03-02,1,57,0.0175,19,18,110.214,108.536,0.0,-1.6779999999999973,226.0,231.0,227.0,252.0,275.0,278.0,266.0,256.0,-5.0,-25.0,-3.0,10.0,False,False,SOFT,SOFT,1,1,0,1,1,True,True,False,SAKHIR,1,mixed,False,0,medium-speed,12,16,18.2,23.8,49.0,False,1.5,False,False,0.0,-0.6629999999999967,-0.21499999999999986,-1,False,Aston Martin,Kick Sauber,False,0.0,0.0,20,opening,fresh,0.16129032258064516,0.9464285714285714,10.0,10.0,0.0,2.4,-0.75,-4.6,-1.25,-0.3207589202581289,0.4981180198434991
LEC,VER,False,2024,Bahrain Grand Prix,1,2024-03-02,2,57,0.0351,2,1,96.862,96.296,0.98700000000008,-0.5659999999999883,0.0,232.0,240.0,248.0,277.0,276.0,293.0,287.0,-232.0,-8.0,1.0,6.0,False,False,SOFT,SOFT,5,5,0,1,1,False,False,False,SAKHIR,1,mixed,False,0,medium-speed,2,1,18.3,23.8,49.0,False,0.9,False,False,-0.25,-0.20299999999999585,-0.11299999999999955,-1,False,Ferrari,Red Bull Racing,False,99.0,0.95699999999988,5,opening,fresh,0.045454545454545456,1.0,10.0,10.0,0.0,0.0,0.2,5.0,7.2,0.8546330275802688,-1.300101151854679
RUS,LEC,True,2024,Bahrain Grand Prix,1,2024-03-02,2,57,0.0351,3,2,96.635,96.862,0.95699999999988,0.22699999999998965,230.0,0.0,253.0,240.0,283.0,277.0,298.0,293.0,230.0,13.0,6.0,5.0,False,False,SOFT,SOFT,5,5,0,1,1,False,False,False,SAKHIR,1,mixed,False,0,medium-speed,3,2,18.3,23.8,49.0,False,0.9,True,True,0.33699999999999974,-0.1739999999999995,0.06400000000000006,0,False,Mercedes,Ferrari,False,0.98700000000008,0.8249999999998181,5,opening,fresh,0.09433962264150944,0.9344262295081968,10.0,10.0,0.0,0.0,0.0,-2.4,5.0,-0.2615437068607321,0.8546330275802688
PER,RUS,False,2024,Bahrain Grand Prix,1,2024-03-02,2,57,0.0351,4,3,96.541,96.635,0.8249999999998181,0.0940000000000083,234.0,230.0,257.0,253.0,285.0,283.0,302.0,298.0,4.0,4.0,2.0,4.0,False,False,SOFT,SOFT,5,5,0,1,1,False,False,False,SAKHIR,1,mixed,False,0,medium-speed,5,3,18.3,23.8,49.0,False,0.9,False,False,0.1509999999999998,0.17099999999999937,-0.22799999999999798,1,False,Red Bull Racing,Mercedes,False,0.95699999999988,0.5670000000000073,5,opening,fresh,0.3076923076923077,0.8888888888888888,10.0,10.0,0.0,-0.6,0.0,-7.2,-2.4,1.300101151854679,-0.2615437068607321
SAI,PER,False,2024,Bahrain Grand Prix,1,2024-03-02,2,57,0.0351,5,4,97.236,96.541,0.5670000000000073,-0.6950000000000074,235.0,234.0,244.0,257.0,279.0,285.0,297.0,302.0,1.0,-13.0,-6.0,-5.0,False,False,SOFT,SOFT,5,5,0,1,1,False,False,False,SAKHIR,1,mixed,False,0,medium-speed,4,5,18.3,23.8,49.0,False,0.9,False,False,-0.2959999999999994,-0.49900000000000233,0.09999999999999787,2,False,Ferrari,Red Bull Racing,False,0.8249999999998181,1.0590000000001965,5,opening,fresh,0.016129032258064516,1.0,10.0,10.0,0.0,1.6,-0.6,-5.0,-7.2,-0.8546330275802688,1.300101151854679
NOR,ALO,True,2024,Bahrain Grand Prix,1,2024-03-02,2,57,0.0351,7,6,98.01,98.02,0.48900000000003274,0.009999999999990905,231.0,231.0,249.0,236.0,285.0,276.0,298.0,293.0,0.0,13.0,9.0,5.0,False,False,SOFT,SOFT,5,5,0,1,1,False,False,False,SAKHIR,1,mixed,False,0,medium-speed,7,6,18.3,23.8,49.0,False,0.9,True,True,-0.15000000000000213,0.2779999999999987,-0.1180000000000021,1,False,McLaren,Aston Martin,False,1.0590000000001965,0.3550000000000182,8,opening,fresh,0.07692307692307693,0.9397590361445783,10.0,10.0,0.0,0.8,1.6,1.4,4.6,-1.2630083635265692,0.3207589202581289
