attacker,defender,overtake,year,race_name,round_number,event_date,lap_number,total_laps,race_progress,attacker_position,defender_position,attacker_lap_time,defender_lap_time,gap_ahead,pace_delta,attacker_speed_i1,defender_speed_i1,attacker_speed_i2,defender_speed_i2,attacker_finish_line_speed,defender_finish_line_speed,attacker_straight_speed,defender_straight_speed,speed_i1_delta,speed_i2_delta,speed_fl_delta,speed_st_delta,safety_car,yellow_flag,attacker_tyre_compound,defender_tyre_compound,attacker_tyre_age,defender_tyre_age,tyre_age_difference,attacker_stint,defender_stint,attacker_fresh_tyre,defender_fresh_tyre,pit_stop_involved,track,sector,sector_type,is_in_drs_zone,drs_zone_length,track_type,attacker_qualification_rank,defender_qualification_rank,air_temp,track_temp,humidity,rainfall,wind_speed,overtake_within_2,overtake_within_3,sector1_delta,sector2_delta,sector3_delta,strongest_sector,compound_mismatch,attacker_team,defender_team,same_team,gap_to_car_ahead,gap_to_car_behind,drs_train_size,race_phase,stint_phase,attacker_overtake_rate_last5,defender_defend_rate_last5,attacker_team_pace_rank,defender_team_pace_rank,team_delta,attacker_positions_gained_avg,defender_positions_gained_avg,attacker_quali_vs_teammate,defender_quali_vs_teammate,attacker_race_pace_vs_teammate,defender_race_pace_vs_teammate
HUL,MAG,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,12,11,104.753,104.694,0.0,-0.0589999999999975,288.0,287.0,273.0,293.0,300.0,300.0,322.0,323.0,1.0,-20.0,0.0,-1.0,False,False,MEDIUM,MEDIUM,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,10,13,25.9,31.6,56.0,False,1.8,False,False,0.0,-0.3269999999999982,-0.04499999999999815,-1,False,Haas F1 Team,Haas F1 Team,True,0.0,0.0,20,opening,fresh,0.5,0.9032258064516129,10.0,10.0,0.0,0.0,-2.0,0.0,-2.0,0.0,1.5965177277837235
VER,HUL,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,13,12,105.222,104.753,0.0,-0.4689999999999941,287.0,288.0,289.0,273.0,300.0,300.0,326.0,322.0,-1.0,16.0,0.0,4.0,False,False,MEDIUM,MEDIUM,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,15,10,25.9,31.6,56.0,False,1.8,False,True,0.0,0.24599999999999866,0.2099999999999973,1,False,Red Bull Racing,Haas F1 Team,False,0.0,0.0,20,opening,fresh,0.08,0.5,10.0,10.0,0.0,0.0,0.0,1.75,0.0,0.9894268939393918,0.0
TSU,VER,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,14,13,105.589,105.222,0.0,-0.36700000000000443,283.0,287.0,301.0,289.0,295.0,300.0,321.0,326.0,-4.0,12.0,-5.0,-5.0,False,False,MEDIUM,MEDIUM,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,16,15,25.9,31.6,56.0,False,1.8,False,False,0.0,-0.10799999999999699,0.13100000000000023,2,False,AlphaTauri,Red Bull Racing,False,0.0,0.0,20,opening,fresh,0.10714285714285714,1.0,10.0,10.0,0.0,-0.25,0.0,1.75,1.75,0.13571556894194003,0.9894268939393918
BOT,TSU,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,15,14,105.612,105.589,0.0,-0.022999999999996135,283.0,283.0,290.0,301.0,290.0,295.0,304.0,321.0,0.0,-11.0,-5.0,-17.0,False,False,MEDIUM,MEDIUM,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,14,16,25.9,31.6,56.0,False,1.8,False,False,0.0,0.2309999999999981,-0.9139999999999979,1,False,Alfa Romeo,AlphaTauri,False,0.0,0.0,20,opening,fresh,0.07317073170731707,0.9807692307692307,10.0,10.0,0.0,-1.25,-0.25,0.5,1.75,-0.673169277360067,0.13571556894194003
ALB,BOT,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,16,15,105.985,105.612,0.0,-0.37300000000000466,289.0,283.0,288.0,290.0,300.0,290.0,321.0,304.0,6.0,-2.0,10.0,17.0,False,False,MEDIUM,MEDIUM,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,17,14,25.9,31.6,56.0,False,1.8,False,False,0.0,-0.3440000000000012,0.7429999999999986,2,False,Williams,Alfa Romeo,False,0.0,0.0,20,opening,fresh,0.06896551724137931,0.9523809523809523,10.0,10.0,0.0,1.25,-1.25,2.0,0.5,2.2084795711233234,-0.673169277360067
NOR,ALB,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,17,16,106.323,105.985,0.0,-0.33799999999999386,281.0,289.0,281.0,288.0,298.0,300.0,311.0,321.0,-8.0,-7.0,-2.0,-10.0,False,False,SOFT,MEDIUM,1,1,0,1,1,True,True,True,JEDDAH,1,mixed,False,0,medium-speed,19,17,25.9,31.6,56.0,False,1.8,False,False,0.0,0.1670000000000016,-0.0070000000000014495,1,True,McLaren,Williams,False,0.0,0.0,20,opening,fresh,0.06896551724137931,0.8611111111111112,10.0,10.0,0.0,0.75,1.25,3.75,2.0,0.15540453565154877,2.2084795711233234
DEV,NOR,True,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,18,17,106.74,106.323,0.0,-0.4170000000000016,282.0,281.0,291.0,281.0,296.0,298.0,313.0,311.0,1.0,10.0,-2.0,2.0,False,False,MEDIUM,SOFT,1,1,0,1,1,True,True,True,JEDDAH,1,mixed,False,0,medium-speed,18,19,25.9,31.6,56.0,False,1.8,True,True,0.0,-0.05100000000000193,-0.0379999999999967,-1,True,AlphaTauri,McLaren,False,0.0,0.0,20,opening,fresh,0.5,0.9024390243902439,10.0,10.0,0.0,0.0,0.75,0.0,3.75,0.0,0.15540453565154877
PER,ALO,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,2,50,0.04,2,1,95.906,95.567,0.40599999999994907,-0.33900000000001285,287.0,280.0,296.0,300.0,294.0,285.0,316.0,302.0,7.0,-4.0,9.0,14.0,False,False,MEDIUM,MEDIUM,2,2,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,1,2,26.0,31.7,55.0,False,1.7,True,True,-0.3299999999999983,0.020000000000003126,-0.028999999999999915,1,False,Red Bull Racing,Aston Martin,False,99.0,1.3949999999999818,2,opening,fresh,0.12,0.9782608695652174,10.0,10.0,0.0,0.5,1.25,-1.75,-2.0,-0.9894268939393918,0.013455258511690715
STR,RUS,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,2,50,0.04,4,3,96.324,96.114,0.4410000000002583,-0.20999999999999375,283.0,283.0,298.0,299.0,291.0,289.0,302.0,303.0,0.0,-1.0,2.0,-1.0,False,False,MEDIUM,MEDIUM,2,2,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,5,3,26.0,31.7,55.0,False,1.7,False,False,-0.20900000000000318,-0.0779999999999994,0.07700000000000173,2,False,Aston Martin,Mercedes,False,1.3949999999999818,0.31999999999970896,5,opening,fresh,0.020833333333333332,0.9736842105263158,10.0,10.0,0.0,2.25,-0.25,-1.75,0.25,-0.5030788353091822,-1.0466218030872447
SAI,STR,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,2,50,0.04,5,4,96.583,96.324,0.31999999999970896,-0.25900000000000034,283.0,283.0,302.0,298.0,293.0,291.0,310.0,302.0,0.0,4.0,2.0,8.0,False,False,MEDIUM,MEDIUM,2,2,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,4,5,26.0,31.7,55.0,False,1.7,False,False,-0.1980000000000004,-0.15500000000000114,0.09399999999999764,2,False,Ferrari,Aston Martin,False,0.4410000000002583,0.8320000000003347,5,opening,fresh,0.26666666666666666,0.9,10.0,10.0,0.0,-0.75,2.25,-1.75,-1.75,-0.6166725441225545,-0.5030788353091822
