attacker,defender,overtake,year,race_name,round_number,event_date,lap_number,total_laps,race_progress,attacker_position,defender_position,attacker_lap_time,defender_lap_time,gap_ahead,pace_delta,attacker_speed_i1,defender_speed_i1,attacker_speed_i2,defender_speed_i2,attacker_finish_line_speed,defender_finish_line_speed,attacker_straight_speed,defender_straight_speed,speed_i1_delta,speed_i2_delta,speed_fl_delta,speed_st_delta,safety_car,yellow_flag,attacker_tyre_compound,defender_tyre_compound,attacker_tyre_age,defender_tyre_age,tyre_age_difference,attacker_stint,defender_stint,attacker_fresh_tyre,defender_fresh_tyre,pit_stop_involved,track,sector,sector_type,is_in_drs_zone,drs_zone_length,track_type,attacker_qualification_rank,defender_qualification_rank,air_temp,track_temp,humidity,rainfall,wind_speed,overtake_within_2,overtake_within_3,sector1_delta,sector2_delta,sector3_delta,strongest_sector,compound_mismatch,attacker_team,defender_team,same_team,gap_to_car_ahead,gap_to_car_behind,drs_train_size,race_phase,stint_phase,attacker_overtake_rate_last5,defender_defend_rate_last5,attacker_team_pace_rank,defender_team_pace_rank,team_delta,attacker_positions_gained_avg,defender_positions_gained_avg,attacker_quali_vs_teammate,defender_quali_vs_teammate,attacker_race_pace_vs_teammate,defender_race_pace_vs_teammate
VER,LEC,False,2022,Spanish Grand Prix,6,2022-05-22,1,66,0.0152,2,1,89.739,88.746,0.0,-0.9930000000000092,259.0,263.0,272.0,272.0,270.0,270.0,276.0,275.0,-4.0,0.0,0.0,1.0,False,False,SOFT,SOFT,4,1,3,1,1,False,True,False,BARCELONA,1,mixed,False,0,medium-speed,2,1,36.6,49.3,7.0,False,3.2,False,False,0.0,-0.5100000000000051,-0.10800000000000054,-1,False,Red Bull Racing,Ferrari,False,99.0,0.0,20,opening,fresh,0.5,0.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUS,VER,False,2022,Spanish Grand Prix,6,2022-05-22,1,66,0.0152,3,2,90.987,89.739,0.0,-1.2479999999999905,256.0,259.0,260.0,272.0,269.0,270.0,284.0,276.0,-3.0,-12.0,-1.0,8.0,False,False,SOFT,SOFT,4,4,0,1,1,False,False,False,BARCELONA,1,mixed,False,0,medium-speed,4,2,36.6,49.3,7.0,False,3.2,False,False,0.0,-0.3469999999999942,-0.2629999999999981,-1,False,Mercedes,Red Bull Racing,False,0.0,0.0,20,opening,fresh,0.5,0.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER,RUS,False,2022,Spanish Grand Prix,6,2022-05-22,1,66,0.0152,4,3,92.215,90.987,0.0,-1.2280000000000086,250.0,256.0,258.0,260.0,270.0,269.0,285.0,284.0,-6.0,-2.0,1.0,1.0,False,False,SOFT,SOFT,4,4,0,1,1,False,False,False,BARCELONA,1,mixed,False,0,medium-speed,5,4,36.6,49.3,7.0,False,3.2,False,False,0.0,-0.38300000000000267,-0.25700000000000145,-1,False,Red Bull Racing,Mercedes,False,0.0,0.0,20,opening,fresh,0.5,0.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAI,PER,False,2022,Spanish Grand Prix,6,2022-05-22,1,66,0.0152,5,4,92.878,92.215,0.0,-0.6629999999999967,265.0,250.0,257.0,258.0,272.0,270.0,281.0,285.0,15.0,-1.0,2.0,-4.0,False,False,SOFT,SOFT,4,4,0,1,1,False,False,False,BARCELONA,1,mixed,False,0,medium-speed,3,5,36.6,49.3,7.0,False,3.2,False,False,0.0,-0.08899999999999864,-0.22799999999999798,-1,False,Ferrari,Red Bull Racing,False,0.0,0.0,20,opening,fresh,0.5,0.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSC,SAI,False,2022,Spanish Grand Prix,6,2022-05-22,1,66,0.0152,6,5,94.018,92.878,0.0,-1.1400000000000006,244.0,265.0,257.0,257.0,272.0,272.0,284.0,281.0,-21.0,0.0,0.0,3.0,False,False,SOFT,SOFT,3,4,-1,1,1,False,False,False,BARCELONA,1,mixed,False,0,medium-speed,10,3,36.6,49.3,7.0,False,3.2,False,False,0.0,-0.5459999999999994,-0.0470000000000006,-1,False,Haas F1 Team,Ferrari,False,0.0,0.0,20,opening,fresh,0.5,0.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,MSC,False,2022,Spanish Grand Prix,6,2022-05-22,1,66,0.0152,7,6,94.684,94.018,0.0,-0.6659999999999968,245.0,244.0,249.0,257.0,271.0,272.0,274.0,284.0,1.0,-8.0,-1.0,-10.0,False,False,SOFT,SOFT,4,3,1,1,1,False,False,False,BARCELONA,1,mixed,False,0,medium-speed,7,10,36.6,49.3,7.0,False,3.2,False,True,0.0,0.01899999999999835,-0.30100000000000193,1,False,Alfa Romeo,Haas F1 Team,False,0.0,0.0,20,opening,fresh,0.5,0.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIC,BOT,False,2022,Spanish Grand Prix,6,2022-05-22,1,66,0.0152,8,7,95.429,94.684,0.0,-0.7450000000000045,245.0,245.0,270.0,249.0,269.0,271.0,283.0,274.0,0.0,21.0,-2.0,9.0,False,False,SOFT,SOFT,4,4,0,1,1,False,False,False,BARCELONA,1,mixed,False,0,medium-speed,9,7,36.6,49.3,7.0,False,3.2,False,False,0.0,-0.6589999999999989,0.010000000000001563,2,False,McLaren,Alfa Romeo,False,0.0,0.0,20,opening,fresh,0.5,0.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCO,RIC,False,2022,Spanish Grand Prix,6,2022-05-22,1,66,0.0152,9,8,95.905,95.429,0.0,-0.4759999999999991,227.0,245.0,229.0,270.0,271.0,269.0,298.0,283.0,-18.0,-41.0,2.0,15.0,False,False,SOFT,SOFT,1,4,-3,1,1,True,False,False,BARCELONA,1,mixed,False,0,medium-speed,12,9,36.6,49.3,7.0,False,3.2,False,False,0.0,0.012000000000000455,-0.13500000000000156,1,False,Alpine,McLaren,False,0.0,0.0,20,opening,fresh,0.5,0.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOR,OCO,False,2022,Spanish Grand Prix,6,2022-05-22,1,66,0.0152,10,9,96.471,95.905,0.0,-0.5660000000000025,244.0,227.0,242.0,229.0,271.0,271.0,289.0,298.0,17.0,13.0,0.0,-9.0,False,False,SOFT,SOFT,1,1,0,1,1,True,True,False,BARCELONA,1,mixed,False,0,medium-speed,11,12,36.6,49.3,7.0,False,3.2,False,False,0.0,-0.4930000000000021,-0.0849999999999973,-1,False,McLaren,Alpine,False,0.0,0.0,20,opening,fresh,0.5,0.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSU,NOR,False,2022,Spanish Grand Prix,6,2022-05-22,1,66,0.0152,11,10,97.032,96.471,0.0,-0.5609999999999928,232.0,244.0,239.0,242.0,270.0,271.0,284.0,289.0,-12.0,-3.0,-1.0,-5.0,False,False,SOFT,SOFT,1,1,0,1,1,True,True,False,BARCELONA,1,mixed,False,0,medium-speed,13,11,36.6,49.3,7.0,False,3.2,False,False,0.0,-0.08100000000000307,-0.1620000000000026,-1,False,AlphaTauri,McLaren,False,0.0,0.0,20,opening,fresh,0.5,0.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
