year,race_name,round_number,event_format,lap_number,overtaker,overtaken,overtaker_prev_pos,overtaker_next_pos,overtaken_prev_pos,overtaken_next_pos,position_gain,consecutive_before,consecutive_after,pit_related,accurate_timing,safety_car,yellow_flag,lap1_or_restart_like
2023,Bahrain Grand Prix,1,conventional,2,GAS,MAG,19,18,18,19,1,True,True,False,False,False,False,True
2023,Bahrain Grand Prix,1,conventional,3,DEV,MAG,20,19,19,20,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,4,ALB,NOR,12,11,10,12,1,False,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,4,OCO,NOR,11,10,10,12,1,True,False,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,4,TSU,HUL,15,14,14,15,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,5,STR,BOT,9,8,8,9,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,14,BOT,MAG,10,8,9,9,2,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,17,ALO,BOT,7,6,6,7,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,18,RUS,BOT,8,7,7,8,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,18,ZHO,HUL,17,15,16,16,2,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,20,STR,BOT,9,8,8,9,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,23,NOR,OCO,19,18,18,19,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,25,ZHO,DEV,15,14,14,15,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,26,PER,LEC,3,2,2,3,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,38,ALO,HAM,6,5,5,6,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,43,ZHO,DEV,13,12,12,13,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,44,SAR,DEV,14,13,13,14,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,45,ALO,SAI,4,3,3,4,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,47,SAR,ZHO,13,12,12,13,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,51,MAG,DEV,15,14,14,15,1,True,True,False,True,False,False,False
2023,Saudi Arabian Grand Prix,2,conventional,2,SAR,DEV,20,17,18,18,3,False,True,False,False,False,False,True
2023,Saudi Arabian Grand Prix,2,conventional,4,PER,ALO,2,1,1,2,1,True,True,False,True,False,False,False
2023,Saudi Arabian Grand Prix,2,conventional,4,VER,HUL,13,12,12,13,1,True,True,False,True,False,False,False
2023,Saudi Arabian Grand Prix,2,conventional,5,VER,MAG,12,11,11,12,1,True,True,False,True,False,False,False
2023,Saudi Arabian Grand Prix,2,conventional,6,HUL,MAG,13,12,12,13,1,True,True,False,True,False,False,False
2023,Saudi Arabian Grand Prix,2,conventional,7,LEC,GAS,9,8,8,9,1,True,True,False,True,False,False,False
2023,Saudi Arabian Grand Prix,2,conventional,8,ALB,BOT,16,15,15,16,1,True,True,False,True,False,False,False
2023,Saudi Arabian Grand Prix,2,conventional,8,DEV,SAR,18,17,17,18,1,True,True,False,True,False,False,False
2023,Saudi Arabian Grand Prix,2,conventional,8,VER,ZHO,11,10,10,11,1,True,True,False,True,False,False,False
2023,Saudi Arabian Grand Prix,2,conventional,9,LEC,HAM,8,7,7,8,1,True,True,False,True,False,False,False
2023,Saudi Arabian Grand Prix,2,conventional,9,VER,GAS,10,9,9,10,1,True,True,False,True,False,False,False
2023,Saudi Arabian Grand Prix,2,conventional,12,VER,HAM,9,8,8,9,1,True,True,False,True,False,False,False
2023,Saudi Arabian Grand Prix,2,conventional,13,LEC,OCO,7,6,6,7,1,True,True,False,True,False,False,False
2023,Saudi Arabian Grand Prix,2,conventional,14,VER,OCO,8,6,7,7,2,True,True,False,True,False,False,False
