year,round_number,event_name,event_format,status,raw_overtakes,filtered_overtakes,candidate_rows,positive_rows,error
2024,1,Bahrain Grand Prix,conventional,ok,217,23,480,38,
2024,2,Saudi Arabian Grand Prix,conventional,ok,63,20,503,50,
2024,3,Australian Grand Prix,conventional,ok,159,11,422,24,
2024,4,Japanese Grand Prix,conventional,ok,179,36,359,57,
2024,5,Chinese Grand Prix,sprint_qualifying,ok,221,39,566,52,
2024,6,Miami Grand Prix,sprint_qualifying,ok,131,28,750,58,
2024,7,Emilia Romagna Grand Prix,conventional,ok,135,24,577,37,
2024,8,Monaco Grand Prix,conventional,ok,15,5,755,9,
2024,9,Canadian Grand Prix,conventional,ok,139,51,791,71,
2024,10,Spanish Grand Prix,conventional,ok,246,44,542,80,
2024,11,Austrian Grand Prix,sprint_qualifying,ok,217,31,661,54,
2024,12,British Grand Prix,conventional,ok,84,26,432,45,
2024,13,Hungarian Grand Prix,conventional,ok,232,30,614,45,
2024,14,Belgian Grand Prix,conventional,ok,205,19,457,38,
2024,15,Dutch Grand Prix,conventional,ok,160,36,674,66,
2024,16,Italian Grand Prix,conventional,ok,191,34,438,45,
2024,17,Azerbaijan Grand Prix,conventional,ok,117,42,512,56,
2024,18,Singapore Grand Prix,conventional,ok,131,19,550,29,
2024,19,United States Grand Prix,sprint_qualifying,ok,148,39,440,61,
2024,20,Mexico City Grand Prix,conventional,ok,137,38,601,75,
2024,21,São Paulo Grand Prix,sprint_qualifying,ok,107,51,658,63,
2024,22,Las Vegas Grand Prix,conventional,ok,307,60,474,76,
2024,23,Qatar Grand Prix,sprint_qualifying,ok,104,32,577,41,
2024,24,Abu Dhabi Grand Prix,conventional,ok,140,30,396,56,
