year,round_number,event_name,event_format,status,raw_overtakes,filtered_overtakes,candidate_rows,positive_rows,error
2025,1,Australian Grand Prix,conventional,ok,94,19,462,32,
2025,2,Chinese Grand Prix,sprint_qualifying,ok,174,25,536,38,
2025,3,Japanese Grand Prix,conventional,ok,125,13,647,20,
2025,4,Bahrain Grand Prix,conventional,ok,302,50,734,72,
2025,5,Saudi Arabian Grand Prix,conventional,ok,110,33,466,55,
2025,6,Miami Grand Prix,sprint_qualifying,ok,78,20,503,49,
2025,7,Emilia Romagna Grand Prix,conventional,ok,188,48,752,83,
2025,8,Monaco Grand Prix,conventional,ok,81,3,774,6,
2025,9,Spanish Grand Prix,conventional,ok,211,38,549,56,
2025,10,Canadian Grand Prix,conventional,ok,199,43,768,79,
2025,11,Austrian Grand Prix,conventional,ok,180,29,497,58,
2025,12,British Grand Prix,conventional,ok,216,30,400,36,
2025,13,Belgian Grand Prix,sprint_qualifying,ok,120,22,408,36,
2025,14,Hungarian Grand Prix,conventional,ok,186,34,779,59,
2025,15,Dutch Grand Prix,conventional,ok,147,36,971,58,
2025,16,Italian Grand Prix,conventional,ok,149,24,521,45,
2025,17,Azerbaijan Grand Prix,conventional,ok,107,26,488,32,
2025,18,Singapore Grand Prix,conventional,ok,158,28,671,34,
2025,19,United States Grand Prix,sprint_qualifying,ok,132,39,548,51,
2025,20,Mexico City Grand Prix,conventional,ok,174,47,604,60,
2025,21,São Paulo Grand Prix,sprint_qualifying,ok,299,57,680,86,
2025,22,Las Vegas Grand Prix,conventional,ok,108,18,424,38,
2025,23,Qatar Grand Prix,sprint_qualifying,ok,126,6,676,10,
2025,24,Abu Dhabi Grand Prix,conventional,ok,242,58,707,101,
