year,race_name,round_number,event_format,lap_number,overtaker,overtaken,overtaker_prev_pos,overtaker_next_pos,overtaken_prev_pos,overtaken_next_pos,position_gain,consecutive_before,consecutive_after,pit_related,accurate_timing,safety_car,yellow_flag,lap1_or_restart_like
2024,Bahrain Grand Prix,1,conventional,2,SAR,RIC,15,14,14,15,1,True,True,False,False,False,False,True
2024,Bahrain Grand Prix,1,conventional,3,NOR,ALO,7,6,6,7,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,3,RUS,LEC,3,2,2,3,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,5,PIA,ALO,8,7,7,8,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,5,STR,BOT,19,18,18,19,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,7,PER,LEC,4,3,3,4,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,9,BOT,STR,19,18,18,19,1,True,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,9,OCO,ZHO,16,15,13,16,1,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,9,RIC,ZHO,15,14,13,16,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,9,SAR,ZHO,14,13,13,16,1,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,10,BOT,OCO,18,15,15,16,3,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,10,BOT,SAR,18,15,13,20,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,10,BOT,ZHO,18,15,16,17,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,10,GAS,OCO,17,14,15,16,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,10,GAS,SAR,17,14,13,20,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,10,GAS,ZHO,17,14,16,17,3,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,10,HAM,ALO,9,8,8,9,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,10,HUL,SAR,20,19,13,20,1,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,10,OCO,SAR,15,16,13,20,-1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,10,RIC,SAR,14,13,13,20,1,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,10,STR,SAR,19,18,13,20,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,10,ZHO,SAR,16,17,13,20,-1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,11,NOR,LEC,6,5,4,6,1,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,11,PER,RUS,3,2,2,4,1,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,11,SAI,LEC,5,3,4,6,2,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,11,SAI,RUS,5,3,2,4,2,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,11,STR,OCO,18,17,16,18,1,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,11,ZHO,OCO,17,16,16,18,1,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,ALB,LEC,11,9,6,13,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,ALB,RUS,11,9,4,11,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,ALO,HAM,9,6,8,7,3,True,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,ALO,LEC,9,6,6,13,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,ALO,RUS,9,6,4,11,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,BOT,MAG,15,14,12,17,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,GAS,LEC,14,12,6,13,2,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,GAS,MAG,14,12,12,17,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,HAM,LEC,8,7,6,13,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,HAM,RUS,8,7,4,11,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,NOR,RUS,5,4,4,11,1,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,PIA,LEC,7,5,6,13,2,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,PIA,RUS,7,5,4,11,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,RIC,LEC,13,10,6,13,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,RIC,MAG,13,10,12,17,3,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,RIC,RUS,13,10,4,11,3,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,SAI,PER,3,2,2,3,1,True,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,STR,MAG,17,16,12,17,1,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,TSU,LEC,10,8,6,13,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,TSU,RUS,10,8,4,11,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,12,ZHO,MAG,16,15,12,17,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,ALB,HAM,9,6,7,12,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,ALB,PER,9,6,3,8,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,ALB,PIA,9,6,5,11,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,ALO,PER,6,4,3,8,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,ALO,PIA,6,4,5,11,2,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,HUL,BOT,19,17,14,19,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,HUL,GAS,19,17,12,18,2,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,LEC,GAS,13,9,12,18,4,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,LEC,HAM,13,9,7,12,4,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,LEC,PIA,13,9,5,11,4,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,LEC,RIC,13,9,10,10,4,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,MAG,BOT,17,15,14,19,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,MAG,GAS,17,15,12,18,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,NOR,PER,4,3,3,8,1,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,OCO,BOT,18,16,14,19,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,OCO,GAS,18,16,12,18,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,RIC,HAM,10,10,7,12,0,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,RIC,PIA,10,10,5,11,0,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,RUS,HAM,11,7,7,12,4,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,RUS,PER,11,7,3,8,4,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,RUS,PIA,11,7,5,11,4,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,RUS,RIC,11,7,10,10,4,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,STR,BOT,16,14,14,19,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,STR,GAS,16,14,12,18,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,TSU,HAM,8,5,7,12,3,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,TSU,PER,8,5,3,8,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,TSU,PIA,8,5,5,11,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,ZHO,BOT,15,13,14,19,2,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,13,ZHO,GAS,15,13,12,18,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,14,ALB,NOR,6,5,3,9,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,14,ALO,NOR,4,3,3,9,1,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,14,BOT,GAS,19,18,18,19,1,True,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,14,HAM,RIC,12,11,10,16,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,14,LEC,NOR,9,8,3,9,1,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,14,MAG,RIC,15,14,10,16,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,14,OCO,RIC,16,15,10,16,1,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,14,PER,NOR,8,6,3,9,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,14,PER,RUS,8,6,7,7,2,True,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,14,PIA,RIC,11,10,10,16,1,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,14,RUS,NOR,7,7,3,9,0,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,14,STR,RIC,14,13,10,16,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,14,TSU,NOR,5,4,3,9,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,14,ZHO,RIC,13,12,10,16,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,ALB,SAI,5,5,2,7,0,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,ALB,TSU,5,5,4,13,0,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,ALO,SAI,3,2,2,7,1,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,HAM,TSU,11,10,4,13,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,LEC,SAI,8,6,2,7,2,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,LEC,TSU,8,6,4,13,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,NOR,TSU,9,8,4,13,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,PER,ALB,6,3,5,5,3,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,PER,SAI,6,3,2,7,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,PER,TSU,6,3,4,13,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,PIA,TSU,10,9,4,13,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,RUS,ALB,7,4,5,5,3,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,RUS,SAI,7,4,2,7,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,RUS,TSU,7,4,4,13,3,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,STR,TSU,13,12,4,13,1,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,15,ZHO,TSU,12,11,4,13,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,HAM,ALB,10,8,5,15,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,HAM,ALO,10,8,2,10,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,LEC,ALB,6,4,5,15,2,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,LEC,ALO,6,4,2,10,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,MAG,ALB,14,13,5,15,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,NOR,ALB,8,6,5,15,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,NOR,ALO,8,6,2,10,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,OCO,ALB,15,14,5,15,1,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,PER,ALO,3,2,2,10,1,True,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,PIA,ALB,9,7,5,15,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,PIA,ALO,9,7,2,10,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,RUS,ALO,4,3,2,10,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,SAI,ALB,7,5,5,15,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,SAI,ALO,7,5,2,10,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,STR,ALB,12,11,5,15,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,TSU,ALB,13,12,5,15,1,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,ZHO,ALB,11,9,5,15,2,False,False,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,16,ZHO,ALO,11,9,2,10,2,False,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,17,ALB,OCO,15,14,14,15,1,True,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,17,ALO,ZHO,10,9,9,10,1,True,True,True,False,False,False,False
2024,Bahrain Grand Prix,1,conventional,17,SAI,LEC,5,4,4,5,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,17,TSU,STR,12,11,11,12,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,18,SAI,RUS,4,3,3,4,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,20,BOT,HUL,18,17,17,19,1,True,False,True,False,False,False,False
